Country (or dependent territory),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,,,19661.0,21792.0,22527.0,25982.0,28220.0,32848.0,34772.0,42198.0
Albania,13362.0,14796.0,15708.0,16904.0,18315.0,19933.0,21761.0,23686.0,25951.0,26994.0
Algeria,261998.0,275938.0,295932.0,323500.0,346468.0,378416.0,396663.0,421124.0,439329.0,449362.0
Andorra,2221.0,2456.0,2607.0,2890.0,3209.0,3488.0,3769.0,3931.0,3783.0,3606.0
Angola,53636.0,57151.0,65974.0,69288.0,78940.0,93652.0,107690.0,126095.0,142863.0,145013.0
Antigua and Barbuda,1279.0,1248.0,1281.0,1385.0,1504.0,1652.0,1919.0,2155.0,2196.0,1946.0
Argentina,427907.0,418256.0,378498.0,420534.0,470303.0,527986.0,588077.0,658373.0,698222.0,661108.0
Armenia,8027.0,8985.0,10477.0,12185.0,13822.0,16268.0,18983.0,22176.0,24172.0,20884.0
Aruba,2740.0,2918.0,2936.0,3027.0,3335.0,3426.0,3572.0,3782.0,3925.0,3489.0
Australia,554381.0,581686.0,615188.0,644771.0,689375.0,732515.0,775548.0,831767.0,870340.0,892363.0
Austria,247359.0,256137.0,264425.0,272183.0,287133.0,302783.0,322907.0,343995.0,355712.0,344515.0
Azerbaijan,28564.0,31102.0,34568.0,38849.0,43583.0,57519.0,79730.0,102735.0,115795.0,127456.0
Bahamas,8252.0,8660.0,9032.0,9094.0,9421.0,10046.0,10617.0,11061.0,11011.0,10619.0
Bahrain,28003.0,29347.0,30802.0,33388.0,36677.0,40388.0,44327.0,49301.0,53382.0,55089.0
Bangladesh,178675.0,191532.0,203941.0,219978.0,239681.0,262776.0,289442.0,316641.0,340512.0,360908.0
Barbados,3453.0,3448.0,3529.0,3677.0,3829.0,4105.0,4472.0,4694.0,4817.0,4602.0
Belarus,57911.0,62009.0,66154.0,72205.0,82625.0,93270.0,105763.0,118003.0,132574.0,133648.0
Belgium,298059.0,308126.0,318270.0,327921.0,348748.0,368037.0,389074.0,414282.0,424115.0,418207.0
Belize,1373.0,1475.0,1574.0,1755.0,1876.0,1972.0,2131.0,2200.0,2320.0,2340.0
Benin,12068.0,12998.0,13814.0,14572.0,15626.0,16392.0,17564.0,19118.0,20439.0,21047.0
Bhutan,1494.0,1635.0,1818.0,2027.0,2224.0,2447.0,2703.0,3133.0,3543.0,3772.0
Bolivia,28906.0,30055.0,31282.0,32764.0,35048.0,37745.0,40776.0,43790.0,47373.0,49278.0
Bosnia and Herzegovina,19659.0,20577.0,21954.0,23251.0,25369.0,27273.0,29714.0,32342.0,34806.0,34743.0
Botswana,13890.0,14239.0,15338.0,16364.0,17258.0,18611.0,20789.0,23119.0,25033.0,23266.0
Brazil,1581938.0,1640061.0,1716479.0,1770328.0,1922557.0,2046341.0,2193060.0,2389039.0,2558893.0,2572051.0
Brunei,23547.0,24738.0,26097.0,27384.0,28261.0,29261.0,31400.0,31035.0,30396.0,30009.0
Bulgaria,57771.0,61327.0,65991.0,70760.0,77340.0,85472.0,94102.0,102983.0,111345.0,108277.0
Burkina Faso,10690.0,11653.0,12350.0,13577.0,14565.0,16323.0,17879.0,19117.0,20614.0,21361.0
Burundi,3239.0,3367.0,3500.0,3657.0,3897.0,4195.0,4558.0,4843.0,5176.0,5408.0
Cape Verde,1340.0,1454.0,1555.0,1705.0,1837.0,2004.0,2255.0,2529.0,2749.0,2731.0
Cambodia,13007.0,14439.0,15629.0,17293.0,19593.0,22885.0,26133.0,29580.0,32164.0,32398.0
Cameroon,30089.0,32111.0,33993.0,36247.0,39744.0,41819.0,44600.0,48051.0,50681.0,52127.0
Canada,916809.0,954244.0,998365.0,1036411.0,1097084.0,1167744.0,1235488.0,1295165.0,1333258.0,1302543.0
Central African Republic,2695.0,2827.0,2932.0,2922.0,2998.0,3182.0,3436.0,3672.0,3840.0,3973.0
Chad,6929.0,7911.0,8716.0,10196.0,13991.0,15629.0,16216.0,17199.0,18066.0,18934.0
Chile,173588.0,183359.0,191982.0,203779.0,224320.0,244638.0,268116.0,288887.0,304927.0,302007.0
China,3657469.0,4050989.0,4489109.0,5036463.0,5694740.0,6542261.0,7601315.0,8918947.0,9961922.0,10972761.0
Colombia,265147.0,275670.0,286976.0,304107.0,328924.0,355205.0,390760.0,428361.0,450911.0,458972.0
Comoros,932.0,1005.0,1068.0,1111.0,1176.0,1282.0,1298.0,1343.0,1423.0,1479.0
Democratic Republic of the Congo,21036.0,21058.0,22017.0,23704.0,25980.0,28439.0,30876.0,33696.0,36480.0,37762.0
Republic of the Congo,13399.0,13040.0,13374.0,13701.0,14041.0,15815.0,17605.0,16885.0,18294.0,20553.0
Costa Rica,31023.0,32830.0,34481.0,36679.0,39330.0,42177.0,46664.0,51862.0,55361.0,55229.0
Ivory Coast,52910.0,54168.0,54095.0,54413.0,56561.0,59339.0,62097.0,64901.0,67828.0,70482.0
Croatia,55254.0,58170.0,62431.0,67251.0,71925.0,77377.0,83747.0,90369.0,93846.0,87531.0
Cyprus,16152.0,17168.0,18085.0,18926.0,20411.0,22073.0,23826.0,25717.0,27167.0,26790.0
Czech Republic,173645.0,182961.0,188729.0,199351.0,214557.0,235894.0,259628.0,281498.0,294603.0,282683.0
Denmark,179690.0,185250.0,189016.0,193495.0,203990.0,215313.0,230640.0,239023.0,242362.0,231950.0
Djibouti,1727.0,1798.0,1885.0,1983.0,2093.0,2226.0,2405.0,2594.0,2798.0,2861.0
Dominica,453.0,463.0,457.0,496.0,525.0,545.0,588.0,642.0,701.0,697.0
Dominican Republic,57202.0,59929.0,63599.0,63982.0,67388.0,76054.0,85593.0,94426.0,99325.0,100907.0
Ecuador,73960.0,78663.0,83162.0,87112.0,96795.0,105113.0,113128.0,118730.0,128699.0,130258.0
Egypt,415688.0,440032.0,461126.0,485244.0,518659.0,558844.0,615515.0,676955.0,739310.0,778822.0
El Salvador,26271.0,27099.0,27955.0,28953.0,29995.0,31774.0,34176.0,35753.0,37214.0,36671.0
Equatorial Guinea,6117.0,10009.0,12159.0,14192.0,19002.0,21207.0,23282.0,27565.0,33095.0,33754.0
Eritrea,2893.0,3217.0,3365.0,3340.0,3480.0,3681.0,3758.0,3915.0,3214.0,3629.0
Estonia,17307.0,18760.0,20342.0,22320.0,24479.0,27651.0,31288.0,34569.0,33423.0,28717.0
Eswatini,4742.0,4900.0,5195.0,5503.0,5855.0,6401.0,6994.0,7501.0,7708.0,7879.0
Ethiopia,32210.0,35373.0,36499.0,36437.0,41793.0,48535.0,55786.0,64054.0,72594.0,80366.0
Fiji,5237.0,5457.0,5719.0,5878.0,6362.0,6476.0,6803.0,6924.0,7127.0,7073.0
Finland,143425.0,150483.0,155438.0,161682.0,172649.0,183014.0,196259.0,212244.0,218010.0,201691.0
France,1681925.0,1754335.0,1801638.0,1852686.0,1951598.0,2047419.0,2166062.0,2278489.0,2324835.0,2274591.0
Gabon,16994.0,17750.0,18061.0,18730.0,19448.0,19901.0,20123.0,21976.0,22785.0,22409.0
Gambia,2520.0,2725.0,2678.0,2918.0,3208.0,3230.0,3312.0,3505.0,3795.0,4074.0
Georgia,12655.0,13562.0,14527.0,16452.0,17872.0,20200.0,22785.0,26345.0,27499.0,26665.0
Germany,2398385.0,2493790.0,2527570.0,2559339.0,2659156.0,2762460.0,2956298.0,3126729.0,3217262.0,3053452.0
Ghana,46599.0,49472.0,52564.0,56341.0,60980.0,66811.0,72878.0,77898.0,86544.0,92048.0
Greece,212000.0,225731.0,238244.0,257023.0,277280.0,287690.0,313327.0,332332.0,337569.0,325123.0
Grenada,785.0,786.0,826.0,922.0,941.0,1099.0,1088.0,1185.0,1220.0,1146.0
Guatemala,55375.0,57981.0,61385.0,64234.0,67917.0,72193.0,78570.0,85574.0,90410.0,91564.0
Guinea,10076.0,10680.0,11407.0,11777.0,12376.0,13147.0,13891.0,15196.0,16128.0,15982.0
Guinea-Bissau,1252.0,1341.0,1412.0,1436.0,1492.0,1639.0,1735.0,1827.0,1947.0,2007.0
Guyana,4032.0,4216.0,4331.0,4388.0,4576.0,4628.0,5015.0,5513.0,5729.0,5957.0
Haiti,18501.0,18853.0,19348.0,20417.0,20689.0,21993.0,23073.0,24812.0,25960.0,27665.0
Honduras,17017.0,17875.0,18835.0,20080.0,21904.0,23958.0,26319.0,28703.0,30491.0,29940.0
Hong Kong,188093.0,193410.0,199678.0,209842.0,234222.0,259414.0,286226.0,312965.0,325754.0,319779.0
Hungary,145070.0,154382.0,164221.0,174303.0,187614.0,201708.0,216314.0,222698.0,229371.0,215375.0
Iceland,7886.0,8387.0,8566.0,8922.0,9876.0,10810.0,11847.0,13196.0,13747.0,12774.0
India,2024745.0,2172728.0,2292813.0,2523801.0,2794959.0,3150250.0,3548305.0,4001378.0,4236785.0,4625515.0
Indonesia,986830.0,1045827.0,1109917.0,1185929.0,1279028.0,1394231.0,1516315.0,1656103.0,1813468.0,1910902.0
Iran,654318.0,674452.0,755196.0,841148.0,901487.0,959415.0,1038468.0,1153516.0,1178586.0,1198089.0
Iraq,98072.0,93694.0,87735.0,162639.0,256161.0,268620.0,292521.0,306100.0,337640.0,351286.0
Ireland,122784.0,132210.0,142188.0,149358.0,163775.0,178600.0,193280.0,209036.0,203486.0,194345.0
Israel,130723.0,133806.0,135626.0,139892.0,150708.0,161898.0,176535.0,192369.0,202840.0,206474.0
Italy,1662671.0,1733306.0,1764791.0,1802118.0,1876837.0,1951525.0,2047765.0,2134379.0,2154383.0,2053690.0
Jamaica,16967.0,17571.0,17965.0,18992.0,19760.0,20561.0,21810.0,22723.0,22970.0,22328.0
Japan,3476344.0,3568390.0,3625525.0,3753838.0,3938870.0,4135674.0,4321794.0,4504455.0,4534630.0,4303871.0
Jordan,30188.0,32365.0,35171.0,37269.0,41376.0,46265.0,51927.0,57595.0,62776.0,66352.0
Kazakhstan,114976.0,133438.0,148798.0,165846.0,186647.0,211173.0,240981.0,269521.0,283754.0,288999.0
Kenya,58894.0,62617.0,63899.0,67082.0,72075.0,78546.0,85710.0,94057.0,96083.0,99897.0
Kiribati,120.0,121.0,128.0,133.0,134.0,145.0,150.0,157.0,157.0,159.0
South Korea,789105.0,846037.0,925599.0,973574.0,1051667.0,1131379.0,1227687.0,1333989.0,1400534.0,1420683.0
Kosovo,7579.0,8122.0,8357.0,8989.0,9605.0,10282.0,10980.0,12218.0,12679.0,13219.0
Kuwait,114734.0,117564.0,122995.0,147167.0,167381.0,190024.0,210619.0,229271.0,239462.0,223944.0
Kyrgyzstan,9190.0,9897.0,10049.0,10968.0,12054.0,12410.0,13190.0,14704.0,16120.0,16691.0
Laos,9925.0,10633.0,11534.0,12488.0,13745.0,15160.0,17027.0,18860.0,20725.0,22396.0
Latvia,21110.0,22951.0,24959.0,27598.0,30749.0,35114.0,40536.0,45806.0,45131.0,38944.0
Lebanon,35281.0,37483.0,39362.0,40821.0,45060.0,46799.0,48990.0,54999.0,61137.0,67825.0
Lesotho,2564.0,2708.0,2794.0,2965.0,3117.0,3315.0,3568.0,3848.0,4069.0,4110.0
Liberia,2590.0,2721.0,2886.0,2090.0,2232.0,2437.0,2725.0,3165.0,3423.0,3624.0
Libya,132196.0,132790.0,133566.0,153931.0,165115.0,190507.0,209152.0,228452.0,190641.0,186129.0
Lithuania,33942.0,36972.0,40083.0,45193.0,49455.0,54950.0,60845.0,69430.0,72612.0,62233.0
Luxembourg,28329.0,29701.0,31316.0,32454.0,34529.0,36742.0,39837.0,44332.0,44604.0,42933.0
Macau,,15714.0,17381.0,19788.0,25730.0,28680.0,33524.0,39414.0,41532.0,42331.0
Madagascar,20408.0,22116.0,19674.0,22025.0,23805.0,25719.0,27944.0,30338.0,32996.0,31886.0
Malawi,10567.0,10365.0,10712.0,11546.0,12499.0,13312.0,14368.0,16173.0,17743.0,19343.0
Malaysia,304161.0,312623.0,334612.0,360969.0,395799.0,428524.0,466415.0,509194.0,544035.0,539233.0
Maldives,2011.0,2127.0,2292.0,2931.0,3191.0,2859.0,3717.0,4111.0,4588.0,4283.0
Mali,12405.0,14635.0,15325.0,17052.0,17783.0,19539.0,21081.0,22408.0,23927.0,25208.0
Malta,7508.0,7587.0,7903.0,8388.0,8625.0,9196.0,9718.0,10457.0,11066.0,11010.0
Marshall Islands,108.0,118.0,124.0,125.0,128.0,135.0,139.0,147.0,140.0,145.0
Mauritania,8348.0,8468.0,8719.0,9507.0,10224.0,11448.0,13965.0,14060.0,14282.0,14388.0
Mauritius,10782.0,11380.0,11745.0,12694.0,13595.0,14225.0,15326.0,16641.0,17874.0,18585.0
Mexico,1267975.0,1291299.0,1310902.0,1356110.0,1447108.0,1526933.0,1644803.0,1727961.0,1781237.0,1697898.0
