Country (or dependent territory),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,19661.0,21792.0,22527.0,25982.0,28220.0,32848.0,34772.0,42198.0,46309.0,50334,59945,63784,69444,72056,70098,74712,77406,81873
Albania,5759.0,6663.0,7280.0,7649.0,8083.0,8214.0,8848.0,8994.0,9181.0,10476.0,9782.0,7281.0,6911.0,7754.0,8664.0,9633.0,10702.0,9697.0,10672.0,12217.0,13362.0,14796.0,15708.0,16904.0,18315.0,19933.0,21761.0,23686.0,25951.0,26994.0,28331.0,29655,30530,30604,32529,33595,34736,37609,40075,41678
Algeria,89746.0,101183.0,114311.0,125202.0,136986.0,149231.0,151931.0,154599.0,157010.0,170999.0,178817.0,182647.0,189798.0,190211.0,192526.0,204126.0,215762.0,221897.0,235839.0,246815.0,261998.0,275938.0,295932.0,323500.0,346468.0,378416.0,396663.0,421124.0,439329.0,449362.0,471208.0,494947,497330,497988,506135,477358,471382,485802,503376,516480
Andorra,,,,,,,,,,,,,,,,,,,,,2221.0,2456.0,2607.0,2890.0,3209.0,3488.0,3769.0,3931.0,3783.0,3606.0,3577.0,3651,3571,3563,3718,3784,4072,4215,4384,4552
Angola,10890.0,11396.0,12100.0,13102.0,14389.0,15364.0,16128.0,17201.0,18899.0,19649.0,19681.0,22805.0,25984.0,29518.0,33317.0,37541.0,42513.0,46392.0,49115.0,50893.0,53636.0,57151.0,65974.0,69288.0,78940.0,93652.0,107690.0,126095.0,142863.0,145013.0,153887.0,162539,186124,199866,220365,204604,204875,217805,218446,221164
Antigua and Barbuda,274.0,311.0,330.0,361.0,412.0,458.0,521.0,569.0,620.0,678.0,724.0,765.0,792.0,853.0,929.0,908.0,985.0,1057.0,1120.0,1177.0,1279.0,1248.0,1281.0,1385.0,1504.0,1652.0,1919.0,2155.0,2196.0,1946.0,1815.0,1816,1772,1720,1762,1770,1883,1893,2073,2210
Argentina,172522.0,177997.0,183044.0,197314.0,208525.0,200165.0,218786.0,229867.0,233316.0,225476.0,230785.0,263638.0,297418.0,323499.0,349671.0,346845.0,372716.0,409894.0,430468.0,421755.0,427907.0,418256.0,378498.0,420534.0,470303.0,527986.0,588077.0,658373.0,698222.0,661108.0,736799.0,797264,819698,849616,839897,867177,885228,1039331,1036859,1033371
Armenia,,,,,,,,,,,,,5605.0,4932.0,5309.0,5856.0,6271.0,6595.0,7088.0,7416.0,8027.0,8985.0,10477.0,12185.0,13822.0,16268.0,18983.0,22176.0,24172.0,20884.0,21600.0,23086,27009,28500,29231,29167,31429,35677,38437,42111
Aruba,,,,,,,741.0,882.0,1083.0,1262.0,1361.0,1519.0,1645.0,1807.0,1997.0,2090.0,2155.0,2346.0,2420.0,2488.0,2740.0,2918.0,2936.0,3027.0,3335.0,3426.0,3572.0,3782.0,3925.0,3489.0,3434.0,3624,3552,3799,3817,3893,3941,4098,4250,4235
Australia,155319.0,177030.0,188086.0,194526.0,214337.0,233179.0,243698.0,261944.0,282715.0,307388.0,323682.0,331280.0,347507.0,369618.0,396010.0,415788.0,441020.0,469115.0,496736.0,526187.0,554381.0,581686.0,615188.0,644771.0,689375.0,732515.0,775548.0,831767.0,870340.0,892363.0,924413.0,970480,983739,1083481,1111524,1113058,1174004,1232436,1297812,1346281
Austria,84657.0,92574.0,100169.0,107011.0,111241.0,117332.0,122496.0,127636.0,133406.0,144027.0,155910.0,166730.0,174100.0,179165.0,187387.0,196421.0,204814.0,212708.0,222806.0,233981.0,247359.0,256137.0,264425.0,272183.0,287133.0,302783.0,322907.0,343995.0,355712.0,344515.0,355061.0,373031,391635,406370,417060,431092,460236,479433,503552,519832
Azerbaijan,,,,,,,,,,,,,32738.0,25773.0,21145.0,18776.0,19603.0,21713.0,23276.0,26294.0,28564.0,31102.0,34568.0,38849.0,43583.0,57519.0,79730.0,102735.0,115795.0,127456.0,135166.0,135804,148340,161865,166329,144146,140230,139153,144615,150852
Bahamas,2658.0,2825.0,3188.0,3539.0,3754.0,4032.0,4220.0,4484.0,4747.0,5047.0,5291.0,5241.0,5155.0,5294.0,5577.0,5943.0,6308.0,6734.0,7131.0,7748.0,8252.0,8660.0,9032.0,9094.0,9421.0,10046.0,10617.0,11061.0,11011.0,10619.0,10912.0,11207,11713,11621,12323,12699,12977,13712,14428,14789
Bahrain,7326.0,8242.0,9312.0,10353.0,11176.0,11422.0,11708.0,11851.0,13000.0,13646.0,14653.0,15495.0,16977.0,18700.0,19713.0,20514.0,21568.0,22455.0,23809.0,25587.0,28003.0,29347.0,30802.0,33388.0,36677.0,40388.0,44327.0,49301.0,53382.0,55089.0,58169.0,60556,65875,67717,68276,62523,63831,71282,74240,77502
Bangladesh,40711.0,47053.0,51562.0,56051.0,60500.0,64750.0,68686.0,72448.0,76794.0,83235.0,90325.0,97305.0,104301.0,111389.0,118903.0,127187.0,136009.0,145693.0,154764.0,165452.0,178675.0,191532.0,203941.0,219978.0,239681.0,262776.0,289442.0,316641.0,340512.0,360908.0,387271.0,420989,473808,509208,553757,595349,650672,710584,785863,868972
